col1	col2	p_val
S10	K100	0.9687450
S100	K100	0.1258388
S35	K100	0.2960287
S50	K100	0.6802644
T10	K100	0.0328760
T100	K100	0.0000568
T35	K100	0.1415054
T50	K100	0.0006331
VL10	K100	0.1623875
VL100	K100	0.0000146
VL35	K100	0.0034827
VL50	K100	0.9840185
S100	S10	0.8242505
S35	S10	0.9738414
S50	S10	0.9999398
T10	S10	0.4472529
T100	S10	0.0018036
T35	S10	0.8526421
T50	S10	0.0189862
VL10	S10	0.8832101
VL100	S10	0.0004474
VL35	S10	0.0867977
VL50	S10	1.0000000
S35	S100	0.9999991
S50	S100	0.9938237
T10	S100	0.9999802
T100	S100	0.1243551
T35	S100	1.0000000
T50	S100	0.5741987
VL10	S100	1.0000000
VL100	S100	0.0381793
VL35	S100	0.9269306
VL50	S100	0.7621722
S50	S35	0.9999704
T10	S35	0.9948708
T100	S35	0.0457672
T35	S35	0.9999998
T50	S35	0.3003465
VL10	S35	1.0000000
VL100	S35	0.0126507
VL35	S35	0.7041314
VL50	S35	0.9525637
T10	S50	0.8566774
T100	S50	0.0100422
T35	S50	0.9961671
T50	S50	0.0895452
VL10	S50	0.9979625
VL100	S50	0.0025650
VL35	S50	0.3150309
VL50	S50	0.9997031
T100	T10	0.3714756
T35	T10	0.9999475
T50	T10	0.9097378
VL10	T10	0.9998521
VL100	T10	0.1431571
VL35	T10	0.9988266
VL50	T10	0.3797356
T35	T100	0.1103123
T50	T100	0.9984668
VL10	T100	0.0952686
VL100	T100	0.9999948
VL35	T100	0.9002718
VL50	T100	0.0013454
T50	T35	0.5361244
VL10	T35	1.0000000
VL100	T35	0.0333282
VL35	T35	0.9076844
VL50	T35	0.7950298
VL10	T50	0.4910842
VL100	T50	0.9395070
VL35	T50	0.9999522
VL50	T50	0.0143925
VL100	VL10	0.0282657
VL35	VL10	0.8808148
VL50	VL10	0.8315853
VL35	VL100	0.6028558
VL50	VL100	0.0003334
VL50	VL35	0.0677936
K100	S10	0.9687450
K100	S100	0.1258388
K100	S35	0.2960287
K100	S50	0.6802644
K100	T10	0.0328760
K100	T100	0.0000568
K100	T35	0.1415054
K100	T50	0.0006331
K100	VL10	0.1623875
K100	VL100	0.0000146
K100	VL35	0.0034827
K100	VL50	0.9840185
S10	S100	0.8242505
S10	S35	0.9738414
S10	S50	0.9999398
S10	T10	0.4472529
S10	T100	0.0018036
S10	T35	0.8526421
S10	T50	0.0189862
S10	VL10	0.8832101
S10	VL100	0.0004474
S10	VL35	0.0867977
S10	VL50	1.0000000
S100	S35	0.9999991
S100	S50	0.9938237
S100	T10	0.9999802
S100	T100	0.1243551
S100	T35	1.0000000
S100	T50	0.5741987
S100	VL10	1.0000000
S100	VL100	0.0381793
S100	VL35	0.9269306
S100	VL50	0.7621722
S35	S50	0.9999704
S35	T10	0.9948708
S35	T100	0.0457672
S35	T35	0.9999998
S35	T50	0.3003465
S35	VL10	1.0000000
S35	VL100	0.0126507
S35	VL35	0.7041314
S35	VL50	0.9525637
S50	T10	0.8566774
S50	T100	0.0100422
S50	T35	0.9961671
S50	T50	0.0895452
S50	VL10	0.9979625
S50	VL100	0.0025650
S50	VL35	0.3150309
S50	VL50	0.9997031
T10	T100	0.3714756
T10	T35	0.9999475
T10	T50	0.9097378
T10	VL10	0.9998521
T10	VL100	0.1431571
T10	VL35	0.9988266
T10	VL50	0.3797356
T100	T35	0.1103123
T100	T50	0.9984668
T100	VL10	0.0952686
T100	VL100	0.9999948
T100	VL35	0.9002718
T100	VL50	0.0013454
T35	T50	0.5361244
T35	VL10	1.0000000
T35	VL100	0.0333282
T35	VL35	0.9076844
T35	VL50	0.7950298
T50	VL10	0.4910842
T50	VL100	0.9395070
T50	VL35	0.9999522
T50	VL50	0.0143925
VL10	VL100	0.0282657
VL10	VL35	0.8808148
VL10	VL50	0.8315853
VL100	VL35	0.6028558
VL100	VL50	0.0003334
VL35	VL50	0.0677936
